id;свод;название;город;страна;наш статус;год имени;год снятия;исходное описание из материалов;статус верен? (да/нет);верный статус;годы верны? (да/нет);комментарий
world-венгрия-улица-ленина-ныне-улица-петё;вне СССР / переименован;Улица Ленина (ныне — улица Петёфи);Надьчеркес;Венгрия;переименован;;;Улица Ленина, ныне переименованная в улицу Петёфи;;;;
world-испания-ленинские-казармы;вне СССР / переименован;Ленинские казармы;Барселона;Испания;переименован;1936;1939;Так во время Гражданской войны в Испании (1936–1939) назывались военные казармы в Барселоне, переименованные республиканцами в честь Ленина. После победы франкистов название было отменено.;;;;
world-венгрия-бульвар-ленина-ныне-бульвар-;вне СССР / переименован;Бульвар Ленина (ныне — бульвар Тиши Лайоша);Сегед;Венгрия;переименован;;1990;Бывший бульвар Ленина в Сегеде, переименованный в бульвар Тиши Лайоша после 1990 года.;;;;
world-чехия-улица-ленина-ныне-улица-пала;вне СССР / переименован;Улица Ленина (ныне — улица Палацкого);Пльзень;Чехия;переименован;;1990;Улица Ленина в городе Пльзень, переименованная в улицу Палацкого после 1990 года.;;;;
world-венгрия-улица-ленина-ныне-улица-кишл;вне СССР / переименован;Улица Ленина (ныне — улица Кишла́боди);Ла́бод;Венгрия;переименован;;;Улица Ленина, ныне переименованная в улицу Кишла́боди;;;;
world-венгрия-улица-ленина-ныне-улица-барш;вне СССР / переименован;Улица Ленина (ныне — улица Ба́ршоньош);Новайдра́нь;Венгрия;переименован;;;Улица Ленина, ныне переименованная в улицу Ба́ршоньош;;;;
world-польша-улица-владимира-ленина-ныне-;вне СССР / переименован;Улица Владимира Ленина (ныне — Стружовская улица);Санок;Польша;переименован;;1990;Улица Владимира Ленина, переименованная после 1990 года.;;;;
world-польша-улица-ленина-ныне-улица-яна-;вне СССР / переименован;Улица Ленина (ныне — улица Яна Клеменса Браницкого);Белосток;Польша;переименован;1949;1990;Носила имя Ленина с 1949 по 1990 год, затем переименована.;;;;
world-черногория-бульвар-ленина-ныне-бульвар-;вне СССР / переименован;Бульвар Ленина (ныне — бульвар Святого Петра Цетиньского);Подгорица;Черногория;переименован;;1991;Бывший бульвар Ленина в Подгорице. Переименован в бульвар Святого Петра Цетиньского после 1991 года;;;;
world-венгрия-улица-ленина-ныне-улица-бема;вне СССР / переименован;Улица Ленина (ныне — улица Бема);Ордачехи;Венгрия;переименован;;;Улица Ленина, ныне переименованная в улицу Бема;;;;
world-венгрия-улица-ленина-ныне-улица-тава-2;вне СССР / переименован;Улица Ленина (ныне — улица Тавас);Давод;Венгрия;переименован;;;Улица Ленина, ныне переименованная в улицу Тавас;;;;
world-румыния-бульвар-21-декабря-1898;вне СССР / переименован;Бульвар 21 декабря 1898);Клуж;Румыния;переименован;1964;1989;Бульвар Ленина в Клуж, Румыния. Носила имя Ленина с 1964 по 1989 г.;;;;
world-германия-бывш-leninalleeмерзебургская;вне СССР / переименован;бывш. Leninallee)Мерзебургская улица (бывш. аллея Ленина);Галле;Германия;переименован;;;С 1950-х Лениналлее. В 1992 г. возвращено название Merseburger Straße;;;;
world-хорватия-площадь-ленина;вне СССР / переименован;Площадь Ленина;Загреб;Хорватия;переименован;;;Бывшая площадь Ленина получила имя короля Крешимира IV после распада Югославии;;;;
world-франция-проспект-ленина-11;вне СССР / переименован;Проспект Ленина;Морсан-сюр-Орж, департамент Эсон;Франция;переименован;;2000;В 2000 году проспект Ленина переименован в проспект Рене-Кассена.;;;;
world-румыния-бульвар-ви-ленина-ныне-кяля-;вне СССР / переименован;Бульвар В.И. Ленина (ныне — Кяля луй Траян);Рымнику-Вылча;Румыния;переименован;;1989;Бывший бульвар Ленина в Рымнику-Вылча, переименованный в Кяля луй Траян после 1989 года.;;;;
world-венгрия-улица-ленина-ныне-улица-свят;вне СССР / переименован;Улица Ленина (ныне — улица Святого Иштвана);Башалом;Венгрия;переименован;;;Улица Ленина, ныне переименованная в улицу Святого Иштвана.;;;;
world-румыния-площадь-ленина-ныне-площадь--2;вне СССР / переименован;Площадь Ленина (ныне — площадь Василе Миля);Питешти;Румыния;переименован;;;Бывшая центральная площадь Питешти.;;;;
world-германия-площадь-ленина-4;вне СССР / утрачен;Площадь Ленина;Фалькензе;Германия;утрачен;;;Площадь Ленина в городе Фалькензе. Бюст Ленина, установленный в 1954 г., был демонтирован после воссоединения Германии;;;;
world-германия-аллея-ленина-ныне-ландсберге;вне СССР / утрачен;Аллея Ленина (ныне Ландсбергер-алле);Берлин;Германия;утрачен;1950;;В 1950 году он был переименован в Лениналлее В 1992 году по решению Сената Берлина вся Лениналлее получила название Ландсбергис Аллее, а Ленинплац - новое название Площади Организации Объединенных Наций после того, как ранее памятник Ленину был снесен, несмотря на ряд гражданских протестов.;;;;
ussr-узбекистан-узбекский-национальный-акаде;СССР / носит имя;Узбекский национальный академический драматический театр (орден Ленина);Ташкент;Узбекистан;носит имя;1914;;Один из старейших театров, создан в 1914 году. 31 мая 1937 года награждён орденом Ленина за выдающиеся успехи в развитии театрального искусства.;;;;
ussr-россия-мемориальный-центр-владимира;СССР / носит имя;Мемориальный центр Владимира Ильича Ленина;Ульяновск;Россия;носит имя;;;Комплекс зданий и сооружений, созданный в ознаменование 100-летия со дня рождения Ленина в Ульяновске.;;;;
ussr-россия-ленинаван-хутор;СССР / носит имя;Ленинаван (хутор);Мясниковский район, Ростовская область;Россия;носит имя;;;Хутор в составе Краснокрымского сельского поселения. Появился в 1922–1927 годах как коммуна Ленинаван, что переводится как «Волна революции» (арм. Լենինավան).;;;;
ussr-россия-гимназия-1-имени-в-и-ленина;СССР / носит имя;Гимназия № 1 имени В. И. Ленина;Ульяновск;Россия;носит имя;1945;;Старейшее учебное заведение города. В 1945 году Первая мужская школа по просьбе учителей и учащихся получила имя своего самого известного выпускника – В. И. Ленина.;;;;
ussr-россия-площадь-ленина-27;СССР / носит имя;Площадь Ленина;Элиста;Россия;носит имя;;;Центральная площадь города, сохранившая имя В. И. Ленина.;;;;
ussr-россия-лениногорск-2;СССР / носит имя;Лениногорск;Республика Татарстан;Россия;носит имя;;;Город с 1955 года, административный центр Лениногорского района.;;;;
ussr-россия-площадь-ленина-29;СССР / носит имя;Площадь Ленина;Астрахань;Россия;носит имя;;;Центральная площадь города, сохранившая имя В. И. Ленина.;;;;
ussr-россия-ленинское-возрождение-хутор;СССР / носит имя;Ленинское Возрождение (хутор);Тихорецкий район, Краснодарский край;Россия;носит имя;;;Хутор, входит в состав Братского сельского поселения.;;;;
ussr-россия-прииск-ленинский;СССР / носит имя;Прииск «Ленинский»;Республика Саха (Якутия);Россия;носит имя;1929;;Создан в декабре 1929 года, с 1930 года – Ленинское приисковое управление.;;;;
ussr-беларусь-ильич-деревня;СССР / носит имя;Ильич (деревня);Пуховичский район, Минская область;Беларусь;носит имя;1920;;Деревня в Туринском сельсовете. Основана в 1920-е годы как посёлок.;;;;
ussr-россия-ленинская-стипендия-стипенди;СССР / носит имя;Ленинская стипендия (стипендия имени В. И. Ленина);(СССР);Россия;носит имя;;;Самая престижная и высокая стипендия в СССР для учащихся средних специальных учебных заведений, студентов вузов, аспирантов. Учреждена в ознаменование 90-летия Ленина постановлением Совета Министров СССР № 371 от 31 марта 1960 года.;;;;
ussr-россия-ленина-2-посёлок;СССР / носит имя;Ленина 2 (посёлок);Чернский район, Тульская область;Россия;носит имя;;;Посёлок в Северном сельском поселении. В 1926 году – посёлок имени Ленина (5 дворов), в конце 1930-х – 141 двор. Позже разделился на Ленина 1 и Ленина 2.;;;;
ussr-россия-всесоюзная-академия-сельскох;СССР / носит имя;Всесоюзная академия сельскохозяйственных наук имени В. И. Ленина (ВАСХНИЛ);Москва;Россия;носит имя;;;Высшее научно-исследовательское и координационное учреждение по сельскому и лесному хозяйству СССР, включало более 150 научных учреждений.;;;;
ussr-россия-дворец-книги-ульяновская-обл;СССР / носит имя;Дворец книги – Ульяновская областная научная библиотека имени В. И. Ленина;Ульяновск;Россия;носит имя;;;Центральная государственная научная библиотека Ульяновской области, преемница Симбирской Карамзинской общественной библиотеки (1848). Носит имя Ленина.;;;;
ussr-латвия-государственный-электротехни;СССР / носит имя;Государственный электротехнический завод ВЭФ им. В.И. Ленина (;Рига;Латвия;носит имя;1969;;Крупнейшее электротехническое предприятие Латвии (1919–1999). В 1969 году присвоено имя Ленина, в 1985 награждён орденом Октябрьской революции.;;;;
ussr-молдавия-колхоз-имени-ленина-4;СССР / носит имя;Колхоз имени Ленина;Копанка (село);Молдавия;носит имя;;;Был одним из самых экономически развитых хозяйств, колхозом-миллионером.;;;;
ussr-россия-площадь-ленина-18;СССР / носит имя;Площадь Ленина;Серпухов;Россия;носит имя;;;Центральная площадь города, сохранившая имя В. И. Ленина.;;;;
ussr-беларусь-площадь-ленина-2;СССР / носит имя;Площадь Ленина;Брест;Беларусь;носит имя;;;Площадь в Ленинском районе Бреста, в историческом центре.;;;;
ussr-беларусь-ленино-агрогородок;СССР / носит имя;Ленино (агрогородок);Добрушский район, Гомельская область;Беларусь;носит имя;;;Агрогородок с названием Ленино.;;;;
ussr-беларусь-ленинск-деревня;СССР / носит имя;Ленинск (деревня);Пуховичский район, Минская область;Беларусь;носит имя;;;Деревня с названием Ленинск.;;;;
ussr-россия-юные-пионеры-имени-спартака-;СССР / переименован;Юные пионеры имени Спартака (1922–1924) → Детская коммунистическая организация имени В. И. Ленина (с 1924) → Всесоюзная пионерская организация имени В. И. Ленина;(СССР);Россия;переименован;1922;1924;Образована 19 мая 1922 года как пионерская организация имени Спартака. После смерти Ленина 21 января 1924 года получила его имя. Существовала до 1991 года.;;;;
ussr-казахстан-акбулым-бывш-ильич;СССР / переименован;Акбулым (бывш. Ильич);Жамбылский район, Жамбылская область;Казахстан;переименован;;1997;Село, переименовано в 1997, центр Акбулымского сельского округа.;;;;
ussr-казахстан-жантас-бывш-ленинка;СССР / переименован;Жантас (бывш. Ленинка);Уланский район, Восточно-Казахстанская область;Казахстан;переименован;;;Село, переименовано.;;;;
ussr-казахстан-площадь-ленина-ныне-площадь-;СССР / переименован;Площадь Ленина (ныне площадь Астаны);Алма-Ата;Казахстан;переименован;;;Бывшее название площади.;;;;
ussr-латвия-площадь-ленина-ныне-площадь-;СССР / переименован;Площадь Ленина – ныне площадь Единства (;Даугавпилс;Латвия;переименован;1950;1990;Центральная площадь города, в советский период (1950–1990) носила имя Ленина. В 1990 году переименована.;;;;
ussr-латвия-аллея-освобождения-atbrīvoša;СССР / переименован;Аллея Освобождения (Atbrīvošanas aleja) – бывш. улица Ленина;Резекне;Латвия;переименован;;;Бывшая улица Ленина, ныне носит название «Аллея Освобождения».;;;;
ussr-казахстан-статистика-по-улицам-ленина;СССР / переименован;Статистика по улицам Ленина;Казахстан;Казахстан;переименован;;2017;На 2017 год насчитывалось 352 улицы, число сокращается из-за переименований. Точная актуальная цифра постоянно обновляется местными акиматами.;;;;
ussr-украина-львовское-объединение-радиот;СССР / переименован;Львовское объединение радиотехнической аппаратуры (ПО имени В.И. Ленина) → Львовский государственный завод «ЛОРТА»;Львов;Украина;переименован;;;Предприятие, в советское время носило имя Ленина, позже переименовано в «ЛОРТА».;;;;
ussr-казахстан-ленинский-район-19361995-нын;СССР / переименован;Ленинский район (1936–1995, ныне Жетысуский);Алма-Ата;Казахстан;переименован;1936;;Прежнее название района города.;;;;
ussr-азербайджан-ашагы-ленинабад-верхний-лени;СССР / переименован;Ашагы Ленинабад (Верхний Ленинабад);Нахичеванская АР;Азербайджан;переименован;;;Село в Нахичеванской АР. Название советского периода.;;;;
ussr-украина-улица-ильича-улица-ивана-бог;СССР / переименован;Улица Ильича → улица Ивана Богуна;Херсон;Украина;переименован;;;Бывшая площадь Ленина.;;;;
ussr-латвия-улица-ленина-ļeņina-iela-нын;СССР / переименован;Улица Ленина (Ļeņina iela) – ныне Бривибас (Brīvības iela);Рига;Латвия;переименован;1950;1991;Прежнее название (1950–1991) главной улицы Риги.;;;;
ussr-украина-проспект-ленина-проспект-сво;СССР / переименован;Проспект Ленина → проспект Свободы;Каменское, Днепропетровская область;Украина;переименован;;;До 2015 года – проспект Ленина.;;;;
ussr-россия-ленинская-слобода;СССР / переименован;Ленинская Слобода;Кстовский район, Нижегородская область;Россия;переименован;;;Сельский посёлок. До 2021 года входил в Запрудновский сельсовет.;;;;
ussr-россия-ленинградский-ордена-ленина-;СССР / переименован;Ленинградский ордена Ленина метрополитен имени В. И. Ленина → Петербургский метрополитен;Санкт-Петербург;Россия;переименован;1955;;Открыт 15 ноября 1955 года, носил имя Ленина до 1992 года.;;;;
ussr-туркменистан-парк-имени-ленина-в-народе-п;СССР / переименован;Парк имени Ленина (в народе – «Первый парк») → Парк культуры и отдыха «Ашхабад»;Ашхабад;Туркменистан;переименован;1887;;Заложен в 1887 году, сначала Офицерский парк, затем городской сад. При СССР носил имя Ленина. В независимом Туркменистане переименован в «Ашхабад».;;;;
ussr-эстония-проспект-ленина-lenini-prosp;СССР / переименован;Проспект Ленина (Lenini prospekt) – ныне улица Йоала (Joala tänav);Нарва;Эстония;переименован;1950;1994;Проспект Ленина (1950–1994), затем переименован.;;;;
ussr-россия-казанский-филиал-центральног;СССР / переименован;Казанский филиал Центрального музея В. И. Ленина → Национальный культурный центр «Казань»;Казань, Республика Татарстан;Россия;переименован;1987;;Открыт 24 июня 1987 года как Ленинский мемориал, ныне – культурный центр.;;;;
ussr-россия-центральный-стадион-имени-в--2;СССР / переименован;Центральный стадион имени В. И. Ульянова-Ленина → Центральный стадион (Казань);Казань, Республика Татарстан;Россия;переименован;;;Домашний стадион футбольного клуба «Рубин», первоначальное название – им. Ульянова-Ленина.;;;;
ussr-узбекистан-хорезмский-государственный-п;СССР / переименован;Хорезмский государственный педагогический институт имени В.И. Ленина → Ургенчский государственный университет;Ургенч;Узбекистан;переименован;1942;1991;В 1942–1991 годах носил имя Ленина. Третий по величине университет Узбекистана.;;;;
ussr-казахстан-ленинское-упразднено-2;СССР / утрачен;Ленинское (упразднено);Тарановский район (ныне р-н Беимбета Майлина), Костанайская область;Казахстан;утрачен;;;Упразднено в 2017.;;;;
ussr-казахстан-ленинский-район-19281933;СССР / утрачен;Ленинский район (1928–1933);Алма-Атинский округ;Казахстан;утрачен;1928;1933;Существовал, переименован в Калининский, упразднён в 1933.;;;;
ussr-казахстан-ленино-ликвидировано;СССР / утрачен;Ленино (ликвидировано);Абайский район, Карагандинская область;Казахстан;утрачен;;;Ликвидировано в 2007.;;;;
ussr-россия-лениндорф-дивное-крым-ликвид;СССР / утрачен;Лениндорф → Дивное (Крым, ликвидировано в 1977);Первомайский район, Республика Крым;Россия;утрачен;;;Село, ранее называлось Лениндорф, ликвидировано в 1977 году.;;;;
ussr-россия-дворец-культуры-имени-в-и-ле;СССР / утрачен;Дворец культуры имени В. И. Ленина (разрушен);Грозный, Чеченская Республика;Россия;утрачен;1931;;Построен в 1931 году, разрушен в 1995 году.;;;;
ussr-россия-кузнецкий-металлургический-к;СССР / утрачен;Кузнецкий металлургический комбинат имени В. И. Ленина → Новокузнецкий металлургический комбинат (до 2003);Новокузнецк, Кемеровская область;Россия;утрачен;2003;;6 апреля 1932 года завод дал первый чугун, в 1936 получил статус комбината. Ранее носил имя Ленина. В 2011 году ликвидирован, часть цехов присоединена к Западно-Сибирскому металлургическому комбинату.;;;;
ussr-беларусь-ленинский-сельсовет-упразднё;СССР / утрачен;Ленинский сельсовет (упразднён);Слуцкий район, Минская область;Беларусь;утрачен;1924;;Образован в 1924 году. Упразднён в 2013 году, населённые пункты вошли в Знаменский сельсовет.;;;;
ussr-казахстан-ленинск-упразднён;СССР / утрачен;Ленинск (упразднён);Алтайский район, Восточно-Казахстанская область;Казахстан;утрачен;;;Упразднённое село, существовало до 2025 года.;;;;
ussr-латвия-площадь-ленина-ļeņina-laukum;СССР / утрачен;Площадь Ленина (Ļeņina laukums) – ныне площадь Единства (Vienības laukums);Цесис;Латвия;утрачен;;1990;В 1959 году установлен памятник Ленину, площадь переименована. В 1990 году памятник демонтирован, переименована.;;;;
ussr-россия-грозненский-нефтеперерабатыв;СССР / утрачен;Грозненский нефтеперерабатывающий завод имени В. И. Ленина;Грозный, Чеченская Республика;Россия;утрачен;1967;;В советский период – одно из крупнейших предприятий на Северном Кавказе. В 1967 году присвоено имя Ленина. Уничтожен в 1999 году.;;;;
ussr-казахстан-байшилик-бывш-ленино;СССР / утрачен;Байшилик (бывш. Ленино);район Магжана Жумабаева, Северо-Казахстанская область;Казахстан;утрачен;;2003;Упразднённый аул, переименован в 2003.;;;;
ussr-казахстан-ленино-ныне-байшилик-ликвиди;СССР / утрачен;Ленино (ныне Байшилик, ликвидировано);район Магжана Жумабаева, Северо-Казахстанская область;Казахстан;утрачен;;2003;Переименовано в 2003, ликвидировано в 2017.;;;;
ussr-литва-ленинский-район-упразднён;СССР / утрачен;Ленинский район (упразднён);Каунас;Литва;утрачен;;;Административный район города Каунаса, упразднён в 1955 году.;;;;
ussr-россия-лениногорка-упразднённый-хут;СССР / утрачен;Лениногорка (упразднённый хутор);Минераловодский район, Ставропольский край;Россия;утрачен;1920;;Хутор основан в 1920 году как товарищество «Ленинские Горки». Снят с учёта 25.06.1980.;;;;
ussr-россия-ленинский-район-в-составе-мо;СССР / утрачен;Ленинский район (в составе Москвы, упразднён);Москва;Россия;утрачен;;;Существовал от Красной площади до Ленинских гор.;;;;
ussr-эстония-выставка-памятников-советско;СССР / утрачен;Выставка памятников советской эпохи в музее истории Марьямяэ;Таллин;Эстония;утрачен;;;В парке за замком Маарьямяэ собраны памятники советской эпохи, в том числе демонтированные монументы Ленину.;;;;
ussr-литва-ленинленд;СССР / утрачен;Ленинленд (;Друскининкай;Литва;утрачен;;;Частный парк-музей, известный на Западе как Stalinworld или Leninland. Имитирует стиль советских лагерей ГУЛАГ. В парке выставлена коллекция монументов советской эпохи, демонтированных после восстановления независимости Литвы.;;;;
ussr-украина-киевский-метрополитен-имени-;СССР / утрачен;Киевский метрополитен имени В.И. Ленина → Киевский метрополитен;Киев;Украина;утрачен;1960;;Открыт 6 ноября 1960 года. В 1977 году присвоено имя Ленина. В 1990-х годах приставка демонтирована. В 1981 году награждён орденом Трудового Красного Знамени.;;;;
ussr-казахстан-ленинский-район-19281930;СССР / утрачен;Ленинский район (1928–1930);Акмолинский округ;Казахстан;утрачен;;;Существовал, позже упразднён.;;;;
ussr-россия-ленинахабль-упразднённый-аул;СССР / утрачен;Ленинахабль (упразднённый аул);Теучежский район, Республика Адыгея;Россия;утрачен;1927;;Аул, основан в 1927 году переселенцами из аула Джиджихабль. Название с адыгейского означает «селение имени Ленина». В настоящее время затоплен водами Краснодарского водохранилища.;;;;
ussr-приднестровс-ленино-село;проверка годов;Ленино (село);Рыбницкий район;Приднестровская Молдавская Республика;носит имя;1924;;Административный центр Ленинского сельсовета (включает также Первомайск, Победа, Станиславка). Село образовано в 1924 году.;;;;
ussr-эстония-улица-ленина-lenini-tänav-ны-2;проверка годов;Улица Ленина (Lenini tänav) – ныне Центральная улица (Kesktänav);Пылтсамаа;Эстония;переименован;;1989;Улица Ленина (до 1989), переименована.;;;;
ussr-казахстан-лениногорск-ныне-риддер;проверка годов;Лениногорск (ныне Риддер);Риддер;Казахстан;переименован;1941;2002;Город, носил имя Лениногорск с 1941 по 2002, затем возвращено историческое название Риддер.;;;;
ussr-казахстан-динмухамеда-кунаева-бывш-лен;проверка годов;Динмухамеда Кунаева (бывш. Ленинское);Шуский район, Жамбылская область;Казахстан;переименован;;2000;Аул, переименован в 2000, центр сельского округа Динмухамеда.;;;;
ussr-таджикистан-проспект-ленина-проспект-руд;проверка годов;Проспект Ленина → проспект Рудаки (с 1992);Душанбе;Таджикистан;переименован;;1992;Главная улица города. До 1992 года основная часть носила имя Ленина, затем переименована в честь поэта Рудаки.;;;;
ussr-грузия-площадь-ленина-leninis-moeda;проверка годов;Площадь Ленина (Leninis Moedani) – ныне площадь Свободы;Тбилиси;Грузия;переименован;;1980;В советское время называлась площадью Закфедерации, затем Берия, затем Ленина. В конце 1980-х переименована в площадь Свободы.;;;;
ussr-россия-советский-детский-фонд-имени;проверка годов;Советский детский фонд имени В. И. Ленина → Российский детский фонд;Москва;Россия;переименован;1987;;Создан 14 октября 1987 года как Советский детский фонд имени Ленина, ныне – Российский детский фонд.;;;;
world-чехия-станция-метро-ленинова-ныне-;проверка годов;Станция метро «Ленинова» (ныне — «Дейвицка»;Прага;Чехия;переименован;1978;1990;Станция пражского метро, носившая название «Ленинова» в 1978–1990 годах. После 1990 года переименована в «Дейвицка» (Dejvická).;;;;
ussr-россия-большая-костромская-льняная-;проверка годов;Большая костромская льняная мануфактура (БКЛМ) → Льнокомбинат имени Ленина (в 1936–1990-х);Кострома;Россия;переименован;1936;;Текстильное предприятие, в прошлом один из крупнейших в Европе производителей льняных тканей. В 1936 году переименовано в «Льнокомбинат имени Ленина», название сохранялось до 1990-х годов.;;;;
ussr-казахстан-турмаганбет-бывш-ленино;проверка годов;Турмаганбет (бывш. Ленино);Кармакшинский район, Кызылординская область;Казахстан;переименован;;1997;Село, переименовано в 1997, центр Дауылкольского сельского округа.;;;;
ussr-россия-ульяновский-завод-имени-и-в-;проверка годов;Ульяновский завод имени И. В. Сталина → Ульяновский дважды ордена Трудового Красного Знамени автомобильный завод имени В. И. Ленина (с 1970) → ООО «Ульяновский автомобильный завод»;Ульяновск;Россия;переименован;1970;;Основан в июле 1941 года. 15 апреля 1970 года присвоено имя Ленина. Ныне – ООО «УАЗ», входит в холдинг «Соллерс».;;;;
ussr-казахстан-аккайын-бывш-ленинка;проверка годов;Аккайын (бывш. Ленинка);Саркандский район, Жетысуская область;Казахстан;переименован;;2000;Село, переименовано в 2000-х.;;;;
world-польша-аллея-ленина-ныне-аллея-иоан;проверка годов;Аллея Ленина (ныне — аллея Иоанна Павла II);Ченстохова;Польша;переименован;;1990;Переименована в честь Папы Иоанна Павла II после 1990 года.;;;;
ussr-россия-ленинская-линия-новосибирско;проверка годов;Ленинская линия Новосибирского метрополитена;Новосибирск;Россия;носит имя;1986;;Первая линия Новосибирского метрополитена, открыта 7 января 1986 года. Проходит под Красным проспектом, Октябрьской магистралью, улицей Восход и проспектом Карла Маркса.;;;;
ussr-казахстан-коксай-бывш-путь-ильича;проверка годов;Коксай (бывш. Путь Ильича);Карасайский район, Алматинская область;Казахстан;переименован;;1998;Село, переименовано в 1998, входит в Иргелинский сельский округ.;;;;
ussr-кыргызстан-киргизский-государственный-о;проверка годов;Киргизский государственный ордена Ленина академический театр оперы и балета → Кыргызский национальный академический театр оперы и балета имени Абдыласа Малдыбаева;Бишкек;Кыргызстан;переименован;1926;1992;В 1926–1992 годах в названии присутствовало имя Ленина и орден.;;;;
ussr-украина-площадь-ленина-вечевая-площа;проверка годов;Площадь Ленина → Вечевая площадь;Жолква, Львовская область;Украина;переименован;1952;2016;В 1952–2016 годах – площадь Ленина, затем переименована.;;;;
ussr-казахстан-береке-бывш-память-ильича;проверка годов;Береке (бывш. Память Ильича);подчинение горадминистрации Атырау, Атырауская область;Казахстан;переименован;;2000;Село, переименовано в 2000.;;;;
